,county,2020-04-22,2020-04-23,2020-04-24,2020-04-25,2020-04-26,2020-04-27
0,23001,0,74,37,17,9,9
1,23003,0,45,22,6,3,3
2,23005,1,174,89,43,20,20
3,23007,0,22,10,2,0,0
4,23009,0,23,13,8,2,2
5,23011,0,78,44,20,12,12
6,23013,0,0,0,0,0,0
7,23015,0,0,0,0,0,0
8,23017,0,40,21,8,2,2
9,23019,0,98,39,17,6,6
10,23021,0,8,7,4,1,1
11,23023,0,21,13,6,2,2
12,23025,0,32,12,7,4,4
13,23027,0,28,16,7,3,3
14,23029,0,20,8,4,3,2
15,23031,1,118,51,29,13,13
