,county,2020-04-22,2020-04-23,2020-04-24,2020-04-25,2020-04-26
0,23001,1,50,102,94,88
1,23003,0,0,63,62,58
2,23005,1,37,277,251,235
3,23007,0,0,0,0,0
4,23009,0,0,53,51,51
5,23011,0,0,71,110,100
6,23013,0,0,0,0,0
7,23015,0,0,0,0,0
8,23017,0,1,26,53,47
9,23019,0,0,149,134,130
10,23021,0,0,3,16,16
11,23023,0,0,0,33,30
12,23025,0,0,14,48,41
13,23027,0,0,36,38,34
14,23029,0,0,20,28,25
15,23031,0,0,183,193,176
