,county,2020-04-22,2020-04-23,2020-04-24,2020-04-25,2020-04-26,2020-04-27
0,50001,0,28,17,5,3,3
1,50003,0,0,21,11,5,5
2,50005,0,0,16,8,3,3
3,50007,2,112,47,22,10,10
4,50009,0,0,2,0,0,0
5,50011,0,9,21,10,8,7
6,50013,0,64,27,10,6,6
7,50015,0,6,11,2,1,1
8,50017,0,0,17,7,1,1
9,50019,0,7,15,4,0,0
10,50021,0,42,22,10,4,4
11,50023,0,1,32,11,4,4
12,50025,0,6,20,10,4,4
13,50027,0,49,25,8,5,5
