,cases,county,date,fips,state,population
349,10.0,Kent,2020-04-27,44003,Rhode Island,164292
379,10.0,Washington,2020-04-27,44009,Rhode Island,125577
419,10.0,Chittenden,2020-04-27,50007,Vermont,163774
139,12.0,Kennebec,2020-04-27,23011,Maine,122302
229,13.0,York,2020-04-27,23031,Maine,207641
29,15.0,Litchfield,2020-04-27,09005,Connecticut,180333
109,20.0,Cumberland,2020-04-27,23005,Maine,295003
19,26.0,Hartford,2020-04-27,09003,Connecticut,891720
9,38.0,Fairfield,2020-04-27,09001,Connecticut,943332
369,41.0,Providence,2020-04-27,44007,Rhode Island,638931
