,county,2020-04-22,2020-04-23,2020-04-24,2020-04-25,2020-04-26,2020-04-27
0,9001,13,106,492,842,824,824
1,9003,15,108,603,818,780,779
2,9005,3,18,107,165,155,155
3,9007,3,27,139,141,134,134
4,9009,2,9,50,67,59,59
5,9011,0,0,7,12,11,11
6,9013,3,14,57,111,134,134
7,9015,0,0,4,58,109,109
