,county,2020-04-22,2020-04-23,2020-04-24,2020-04-25,2020-04-26,2020-04-27
0,33001,0,0,0,0,0,0
1,33003,0,0,0,0,0,0
2,33005,0,0,0,0,43,43
3,33007,1,2,14,26,27,27
4,33009,0,0,0,0,0,0
5,33011,1,0,1,91,273,273
6,33013,0,0,0,0,0,0
7,33015,0,0,0,9,98,99
8,33017,0,0,0,0,1,1
9,33019,1,6,35,40,39,39
