,county,2020-04-22,2020-04-23,2020-04-24,2020-04-25,2020-04-26,2020-04-27
0,33001,0,0,57,50,46,46
1,33003,0,0,13,44,41,41
2,33005,0,0,75,69,61,61
3,33007,0,0,26,30,28,28
4,33009,0,0,86,80,70,70
5,33011,3,97,394,366,345,345
6,33013,0,8,139,131,122,122
7,33015,0,0,232,289,267,267
8,33017,0,0,57,117,111,111
9,33019,0,0,37,40,34,33
