,county,2020-04-22,2020-04-23,2020-04-24,2020-04-25,2020-04-26,2020-04-27
0,44001,0,37,9,2,2,2
1,44003,2,119,50,21,10,10
2,44005,0,54,28,15,4,4
3,44007,5,444,204,96,42,41
4,44009,2,85,40,24,10,10
