,county,2020-04-22,2020-04-23,2020-04-24,2020-04-25,2020-04-26,2020-04-27
0,9001,16,884,831,756,701,701
1,9003,12,839,774,712,651,650
2,9005,4,169,161,144,128,128
3,9007,2,141,146,135,122,122
4,9009,1,88,78,74,71,71
5,9011,1,78,76,68,62,62
6,9013,3,148,143,130,122,122
7,9015,1,113,102,93,89,89
