,county,2020-04-22,2020-04-23,2020-04-24,2020-04-25,2020-04-26,2020-04-27
0,44001,0,0,2,13,40,40
1,44003,1,9,15,38,61,61
2,44005,0,0,0,0,1,1
3,44007,7,19,58,112,230,231
4,44009,1,3,12,17,37,37
