,county,2020-04-22,2020-04-23,2020-04-24,2020-04-25,2020-04-26,2020-04-27
0,50001,0,0,0,0,0,0
1,50003,0,0,0,0,34,34
2,50005,0,0,0,5,28,28
3,50007,0,0,15,124,141,141
4,50009,0,0,0,4,7,7
5,50011,0,0,0,18,47,47
6,50013,0,0,0,0,0,0
7,50015,0,0,0,13,22,22
8,50017,0,0,0,0,0,0
9,50019,0,0,0,0,28,28
10,50021,0,0,4,39,54,54
11,50023,1,10,41,47,43,43
12,50025,0,0,1,35,37,37
13,50027,1,11,49,49,44,43
