,county,2020-04-22,2020-04-23,2020-04-25,2020-04-26,2020-04-27
0,23001,0,0,0,0,0
1,23003,0,0,0,0,0
2,23005,0,0,0,0,0
3,23007,0,0,0,0,0
4,23009,0,0,0,0,0
5,23011,0,0,0,0,0
6,23013,0,0,0,0,0
7,23015,0,0,0,0,0
8,23017,0,0,0,0,0
9,23019,0,0,0,0,0
10,23021,0,0,0,0,0
11,23023,0,0,0,0,0
12,23025,0,0,0,0,0
13,23027,0,0,0,0,0
14,23029,0,0,0,0,0
15,23031,2,1,4,8,9
