,county,2020-04-22,2020-04-23,2020-04-24,2020-04-25,2020-04-26,2020-04-27
0,9001,13,479,200,94,38,38
1,9003,15,449,183,73,27,26
2,9005,3,100,47,24,15,15
3,9007,1,93,41,22,7,7
4,9009,1,8,4,1,0,0
5,9011,2,39,11,6,4,4
6,9013,2,80,29,16,9,9
7,9015,3,69,28,13,6,6
