,county,2020-04-23,2020-04-24,2020-04-25,2020-04-26,2020-04-27,2020-04-28
0,33001,0,0,0,0,0,0
1,33003,0,0,0,0,0,0
2,33005,1,1,1,2,2,2
3,33007,0,0,0,0,0,0
4,33009,0,0,0,0,0,0
5,33011,0,0,0,0,0,1
6,33013,1,2,2,4,5,5
7,33015,2,2,6,6,6,6
8,33017,0,0,0,0,0,0
9,33019,0,0,0,0,0,0
